objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
418,0.9366,1.061,0.0432,0.0486,373.4143,423.1738,0.8824,1529.6866,1094.9115,,L2-2_052,L2-2
323,1.0307,1.2287,0.0432,0.0486,318.965,381.1738,0.8368,1661.1269,529.0929,,L2-2_052,L2-2
294,0.82,1.0599,0.042,0.049,228.7288,297.1802,0.7697,741.2517,1119.8435,,L2-2_054,L2-2
174,0.7321,1.0762,0.042,0.049,120.0753,178.722,0.6719,753.8448,1641.9655,,L2-2_054,L2-2
427,1.8981,1.7858,0.042,0.049,792.5801,741.5974,1.0687,1285.2881,512.5808,,L2-2_054,L2-2
298,0.7712,1.0526,0.042,0.049,217.3231,299.0501,0.7267,1376.6913,1148.0336,,L2-2_054,L2-2
351,2.1653,2.9955,0.042,0.049,745.2781,1034.2171,0.7206,1393.5983,773.2678,,L2-2_054,L2-2
196,0.6185,2.8539,0.0432,0.0534,112.7574,548.9102,0.2054,129.1378,1315.6531,,L2-2_055,L2-2
374,1.6771,2.1621,0.0432,0.0534,611.0736,788.6533,0.7748,1089.9733,387.2701,,L2-2_055,L2-2
466,1.156,1.1128,0.0432,0.0534,518.5775,493.7089,1.0504,1181.7489,726.0107,,L2-2_055,L2-2
321,0.9203,1.1038,0.0432,0.0534,281.5575,337.1835,0.835,1258.1121,1135.2368,,L2-2_055,L2-2
185,0.6377,0.7207,0.0387,0.0442,110.8191,125.1458,0.8855,126.1568,245.827,,L2-2_056,L2-2
297,0.9666,1.4023,0.0387,0.0442,275.5836,403.3532,0.6832,773.1178,1375.0539,,L2-2_056,L2-2
81,0.6048,0.7498,0.0387,0.0442,45.8543,57.1531,0.8023,1152,385,,L2-2_056,L2-2
357,1.9948,3.3918,0.0387,0.0442,698.3216,1195.1117,0.5843,1484.2717,1461.93,,L2-2_056,L2-2
597,1.5213,2.373,0.0409,0.0444,883.7789,1390.1973,0.6357,1389.3735,804.1692,,L2-2_057,L2-2
220,0.4195,0.601,0.0389,0.0477,83.7391,121.7266,0.6879,845.6,660.1364,,L2-2_058,L2-2
302,1.1376,2.0057,0.0389,0.0477,331.8267,591.3129,0.5612,1254.2483,1271.8709,,L2-2_058,L2-2
81,0.4077,0.5086,0.0389,0.0477,29.8724,37.3316,0.8002,1933,379,,L2-2_058,L2-2
591,5.3018,8.1207,0.0381,0.0465,3110.8439,4771.8747,0.6519,721.4805,1760.066,,L2-2_059,L2-2
570,4.2538,4.077,0.0381,0.0465,2402.9719,2297.4257,1.0459,1358.4842,211.1246,,L2-2_059,L2-2
213,1.5176,2.1422,0.0381,0.0465,315.1361,446.3932,0.706,1561.1127,1592.507,,L2-2_059,L2-2
