objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,FileName,Condition
467,90.6924,39.2136,0.0314,0.0398,42338.6985,18294.1344,2.3143,1042.985,1321.4754,L5_091,L5
420,192.7914,70.7677,0.0314,0.0398,80959.2064,29705.7159,2.7254,1548.5405,507.0071,L5_091,L5
397,138.5109,59.7942,0.0314,0.0398,54976.381,23722.4913,2.3175,1620.1209,1321.7431,L5_091,L5
228,72.7146,40.7055,0.0448,0.0449,16568.7,9270.6076,1.7872,51.1798,1121.2675,L7_106,L7
305,187.961,58.1425,0.0448,0.0449,57314.422,17719.7545,3.2345,627.3607,285.8623,L7_106,L7
271,78.3118,31.4966,0.0448,0.0449,21210.3324,8523.4012,2.4885,1004.4502,1030.428,L7_106,L7
449,86.1603,40.7521,0.0448,0.0449,38665.8224,18277.5151,2.1155,1151.9777,1940.4655,L7_106,L7
375,237.1761,83.375,0.0448,0.0449,88924.2232,31248.763,2.8457,1327.872,697.416,L7_106,L7
81,178.3733,59.8999,0.0343,0.0334,14445.4592,4849.1864,2.9789,335,321,L7_107,L7
286,266.4136,115.7464,0.0343,0.0334,76184.4851,33093.9301,2.3021,418.8706,1354.5804,L7_107,L7
326,230.178,86.5057,0.0343,0.0334,75026.8578,28189.9864,2.6615,821.184,874.9141,L7_107,L7
267,180.5071,60.0682,0.0343,0.0334,48186.24,16029.3048,3.0061,1043.3858,424.9663,L7_107,L7
374,212.0886,74.317,0.0343,0.0334,79308.3013,27782.0697,2.8547,1111.0294,642.4385,L7_107,L7
272,221.2339,100.4148,0.0343,0.0334,60166.2932,27303.731,2.2036,1314.739,1663.7279,L7_107,L7
209,182.2519,58.8364,0.0343,0.0334,38083.4804,12289.8266,3.0988,1688.1627,276.9522,L7_107,L7
271,227.2045,91.6947,0.0424,0.0408,61560.9323,24838.1977,2.4785,436.8376,1263.5129,L7_108,L7
197,90.1177,30.7661,0.0424,0.0408,17744.8286,6052.8781,2.9316,577.3909,550.1472,L7_108,L7
92,67.5778,35.151,0.0424,0.0408,6213.2612,3230.1323,1.9235,587.5,1969,L7_108,L7
233,86.4683,27.5552,0.0424,0.0408,20137.2465,6410.8394,3.1411,967.7682,265.2489,L7_108,L7
287,91.7607,30.3984,0.0424,0.0408,26323.1535,8712.6175,3.0213,1190.2857,399.3589,L7_108,L7
110,57.8061,26.7357,0.0424,0.0408,6354.0139,2936.4371,2.1639,1603.7091,1670.1909,L7_108,L7
416,81.0614,34.786,0.0424,0.0408,33703.9155,14453.9846,2.3318,1716.4784,1409.0144,L7_108,L7
337,129.7575,51.4051,0.0377,0.0419,43715.578,17309.4005,2.5255,333.1335,995.1395,L7_109,L7
153,62.2161,29.9488,0.0377,0.0419,9513.3058,4575.7654,2.0791,373.6601,1739.2222,L7_109,L7
276,124.1954,43.2119,0.0377,0.0419,34267.5326,11914.9376,2.876,654.6304,401.1413,L7_109,L7
303,146.9646,50.9596,0.0377,0.0419,44518.862,15428.0633,2.8856,1277.8185,371.1782,L7_109,L7
463,233.6924,96.1172,0.0377,0.0419,108182.1402,44482.8892,2.432,1280.9719,748.3564,L7_109,L7
92,75.7248,24.3839,0.0377,0.0419,6963.2177,2239.4666,3.1093,1674.5,297,L7_109,L7
444,89.4058,32.7417,0.0437,0.0405,39676.7838,14519.3311,2.7327,931.8941,901.6622,L7_110,L7
384,113.2764,51.0792,0.0437,0.0405,43481.3527,19598.8701,2.2186,941,1670.8516,L7_110,L7
325,106.4129,49.1916,0.0437,0.0405,34569.9911,15974.1293,2.1641,1035.0523,1791.9385,L7_110,L7
447,96.0414,32.193,0.0437,0.0405,42910.9789,14372.1682,2.9857,1059.6242,445.2125,L7_110,L7
218,87.268,26.2739,0.0385,0.0407,19016.0377,5718.8571,3.3251,485.0275,54.2156,L7_111,L7
267,88.8049,41.8846,0.0385,0.0407,23700.6407,11172.3372,2.1214,579.3521,1700.3633,L7_111,L7
374,124.1481,43.0445,0.0385,0.0407,46416.9974,16083.4453,2.886,614.5,612,L7_111,L7
473,177.4418,88.3275,0.0385,0.0407,83911.7666,41759.6585,2.0094,1118.7632,1882.6448,L7_111,L7
322,110.6343,41.6544,0.0385,0.0407,35611.8696,13399.6233,2.6577,1299.8137,857.8727,L7_111,L7
333,81.3226,29.503,0.0267,0.0316,27071.5482,9813.9828,2.7585,228.6607,894.1291,L8_001,L8
292,67.8648,24.831,0.0267,0.0316,19808.7404,7241.4281,2.7355,501.1644,939.1438,L8_001,L8
166,39.8765,13.3894,0.0267,0.0316,6615.0722,2217.3957,2.9833,613.2651,532.3133,L8_001,L8
228,43.4258,14.4248,0.0267,0.0316,9894.9957,3281.6436,3.0153,1168.5,493.5,L8_001,L8
303,63.6719,26.0575,0.0267,0.0316,19284.5207,7885.839,2.4455,1472.9835,1093.4719,L8_001,L8
330,84.8131,30.8385,0.0267,0.0316,27979.5157,10166.2914,2.7522,1904.9212,808.3727,L8_001,L8
350,106.8517,42.1211,0.0236,0.028,37389.8101,14732.5857,2.5379,152.7743,1181.7914,L8_002,L8
191,75.9836,32.0653,0.0236,0.028,14508.3478,6119.1282,2.371,397.0262,1420,L8_002,L8
170,72.1776,30.4615,0.0236,0.028,12266.1824,5173.7031,2.3709,548,1534.5,L8_002,L8
114,77.4035,27.9669,0.0236,0.028,8821.31,3185.0312,2.7696,1077.5,911,L8_002,L8
234,100.1043,30.2587,0.0236,0.028,23418.8788,7073.9892,3.3106,1157.2991,259.8803,L8_002,L8
343,94.4245,37.1297,0.0236,0.028,32379.4914,12725.8903,2.5444,1271,1294,L8_002,L8
174,81.9546,29.8491,0.0236,0.028,14255.9897,5188.8684,2.7474,1716.5,950.5,L8_002,L8
212,77.1037,29.4657,0.0236,0.028,16340.9643,6240.786,2.6184,1889.4953,1056.5142,L8_002,L8
144,76.7129,31.4364,0.0518,0.0442,11039.1957,4520.4787,2.442,274.5,1361.5,L8_003,L8
378,79.2177,36.2024,0.0518,0.0442,29924.729,13667.7884,2.1894,324.5899,1764.2249,L8_003,L8
